comparison,k,n,difference_pp,ci95_low_pp,ci95_high_pp
regional_vs_ddd_phenotype,1,86,34.883720930232556,24.418604651162788,45.348837209302324
regional_vs_ddd_phenotype,5,86,39.53488372093023,26.744186046511626,51.162790697674424
regional_vs_ddd_phenotype,10,86,44.18604651162791,31.3953488372093,55.81395348837209
regional_vs_ddd_phenotype,20,86,38.372093023255815,25.581395348837212,50.0
