condition,n,rankable_n,Recall@1_pct,Recall@5_pct,Recall@10_pct,Recall@20_pct,MRR,MedianRank
Saudi regional phenotype,86,86,45.348837209302324,67.44186046511628,75.5813953488372,84.88372093023256,0.568836899573191,2.0
DDD phenotype,86,86,10.465116279069768,27.906976744186046,31.3953488372093,46.51162790697674,0.18427954122788293,23.5
Saudi gene frequency,86,86,0.0,4.651162790697675,19.767441860465116,45.348837209302324,0.06574485748382049,22.5
DDD gene frequency,86,86,0.0,0.0,1.1627906976744187,4.651162790697675,0.012429436538509281,215.5
