repeat,regional_recall5_pct,ddd_recall5_pct
1,74.75538160469667,5.6751467710371815
2,74.75538160469667,4.892367906066536
3,74.75538160469667,5.088062622309197
4,74.75538160469667,3.7181996086105675
5,74.75538160469667,2.935420743639922
6,74.75538160469667,4.305283757338552
7,74.75538160469667,3.131115459882583
8,74.75538160469667,2.152641878669276
9,74.75538160469667,2.935420743639922
10,74.75538160469667,3.522504892367906
11,74.75538160469667,4.10958904109589
12,74.75538160469667,4.6966731898238745
13,74.75538160469667,5.283757338551859
14,74.75538160469667,5.283757338551859
15,74.75538160469667,3.7181996086105675
16,74.75538160469667,4.10958904109589
17,74.75538160469667,2.935420743639922
18,74.75538160469667,4.6966731898238745
19,74.75538160469667,3.7181996086105675
20,74.75538160469667,5.6751467710371815
