condition,n,rankable_n,Recall@1_pct,Recall@5_pct,Recall@10_pct,Recall@20_pct,MRR,MedianRank
Saudi regional phenotype,511,511,53.03326810176125,74.75538160469667,83.56164383561644,91.58512720156556,0.6361919756211225,1.0
DDD phenotype,511,86,1.761252446183953,4.6966731898238745,5.283757338551859,7.8277886497064575,0.03101377797572981,23.5
Saudi gene frequency,511,511,5.47945205479452,25.244618395303327,41.291585127201564,57.33855185909981,0.1639354616453533,15.0
DDD gene frequency,511,86,0.0,0.0,0.19569471624266144,0.7827788649706457,0.002091842548555378,215.5
